bomb,폭탄; 폭격하다
overwhelm,"압도하다, ~의 기를 꺾다"
overcome,"극복하다, 이기다"
overtake,"~을 따라잡다, 앞지르다, (폭풍우, 불행 등이)덮치다"
overseas,해외의; 해외로
overall,전체적으로; 전체적인
prepare,준비하다
prefer,오히려 ~을 더 좋아하다
present,"현재의, 참석한, 선물, 증정하다, 제출하다, 상연하다"
prevent,"막다, 방해하다, 예방하다"
previous,"이전의, 앞의"
preschool,"취학 전의, 유치원"
renew,"갱신하다, 재개하다, 새로 교체하다"
rebuild,"재건하다, 다시 짓다"
restore,"회복시키다, 복구하다"
refresh,"상쾌하게 하다, 새롭게 하다"
relieve,"구제하다,(고통, 부담등을) 덜어주다"
research,"(학수)연구, 조사, 연구하다, 조사하다"
remarkable,"주목할 만한, 두드러진, 놀랄만한"
remark,"말, 논평; 말하다, 논평하다"
recycle,재활용하다
repair,"고치다, 수리(수선)하다"
review,"재검토, 논평, 복습; 재검토하다, 복습하다"
reflect,"반사하다, 반영하다, 숙고하다"
reassure,안심시키다
resource,자원
reaction,"반응, 반작용"
refund,"환불, 환불하다"
resign,"사직하다, 사임하다"
retire,은퇴하다
republic,공화국
reply,"응답, 대답, 대답하다, 답신하다"
reject,"거절하다, 거부하다"
rely,"의지하다, 믿다"
represent,"대표하다, 나타내다"
reward,"보상, 보상하다, 보답하다"
reserve,"예약하다, 따로 남겨두다, 보존하다, 비축하다"
remove,"치우다, 제거하다"
restrict,"제한하다, 금지하다"
reverse,"역, 반대; 반대의; 뒤바꾸다"
replace,"~에 대신하다, 대체하다, 제자리에 놓다"
referee,"심판원, 심판하다"
subside,"가라앉다, 진정되다"
suburban,교외의
substance,"물질, 본질, 실체, 요지"
submarine,"잠수함, 해저의"
substitution,"대리, 대리인, 대체"
uncertain,불확실한
uncover,"알아내다, 적발하다, 폭로, 덮개를 벗기다"
unlock,"열다, 자물쇠를 열다"
unlikely,"있음직하지 않은, ~일 것 같지 않은"
unchangeable,변경할(바꿀) 수 없는
undertake,"떠맡다, 착수하다"
undergo,"(검열,수술 등을) 받다, 겪다"
undergraduate,대학생
uniform,"유니폼, 제복, 한결같은, 동일한"
unify,"통합하다, 통일하다"
unique,"유일한, 독특하다"
union,"연합, 조합, 노동조합, 동맹"
reunion,"재회, 동창회"
unite,"연합하다, 통합시키다"
united,"연합한, 단결한"
unity,"통일, 통합"
upward,위로; 위로 향한
downward,"아래쪽으로, 아래로 향한"
backward,"뒤로, 뒤쪽으로"
inward,"마음속으로, 안쪽으로 향한, 안으로"
toward,"~쪽으로, ~을 향하여"
outward,밖으로 향하는; 바깥쪽의
forward,"앞으로, 전방으로"
semicircle,반원
semifinal,준결승
ultraviolet,"자외선의, 자외선"
microscope,현미경
psychology,심리학
counterclockwise,시계 반대 방향으로
centennial,"100년 마다의, 100년 간의"
ancient,"옛날의, 고대의"
ancestor,"선조, 조상"
advance,"전진하다, 증진시키다, 전진"
enhance,"(질, 능력 등을) 높이다, 향상시키다"
astronaut,우주비행사
astronomy,천문학
astrology,"점성술, 점성학"
disaster,"재앙, 재난"
audience,"청중, 관중"
auditorium,"강당, 방청석"
audible,"들을 수 있는, 잘 들리는"
inaudible,"알아들을 수 없는, 들리지 않는"
auditory,청각의
biology,생물학
biochemistry,생화학
antibiotic,"항생제, 항생물질"
conclude,"끝내다, 결론을 내리다"
include,"포함하다, 포함시키다"
exclude,"제외시키다, 배제하다"
disclose,"드러내다, 폭로하다"
enclose,"에워싸다, 동봉하다"
infinite,"무한한, 끝없는"
finale,"대단원, 피날레"
definite,"한정된, 명확한, 확실한"
confine,"한정하다, 제한하다, 감금하다"
influence,"영향, 영향을 미치다"
fluid,"유동체, 유동성의"
influenza,독감
fluent,유창한
gene,유전자
generate,"발생시키다, 일으키다"
genetics,유전학
gender,"성, 성별"
transgender,성전환을 한 사람
degenerate,"퇴보하다, 악화되다, 퇴보한, 타락한"
biography,"전기, 일대기"
autograph,"서명, 사인, 사인하다"
autobiography,자서전
telegraph,전보
paragraph,"절, 단락"
diagram,"도표, 도형"
collect,"모으다, 수집하다, 요금을 수신자가 부담하는"
recollect,기억해내다
election,"선거, 당선"
select,"고르다, 선택하다, 선발하다"
legitimate,"합법적인, 정당한"
legal,"법률에 관한, 합법의"
illegal,불법적인
legislation,"입법, 법률제정"
literacy,읽고 쓸 줄 아는 능력
literal,글자 그대로의
literary,문학의
demand,"요구하다, 요구, 수요"
command,"명령하다, 지휘하다, 명령"
mandatory,"의무적인, 강제적인, 명령의"
manual,"손의, 손으로 하는, 소책자, 안내서"
manage,"경영하다, 관리하다"
manufacture,"제조, 제품, 제조하다"
diminish,"감소하다, 감소시키다"
minimum,최소한도
minute,"분, 미세한, 아주 작은"
transmit,"보내다, 전송하다"
